headline,url
Israel intensifies its attacks in the West Bank as it negotiates a new extension of the Gaza truce,https://english.elpais.com/international/2023-11-29/israel-intensifies-its-attacks-in-the-west-bank-as-it-negotiates-a-new-extension-of-the-gaza-truce.html
West’s perceived double standards in Gaza widen gap with Global South,https://english.elpais.com/international/2023-11-29/the-wests-perceived-double-standards-in-gaza-widen-the-gap-with-the-global-south.html
Ibrahim Nasrallah: ‘The Arabs who said they were on our side deceived us’,https://english.elpais.com/international/2023-11-29/ibrahim-nasrallah-the-arabs-who-said-they-were-on-our-side-deceived-us.html
"Rescued from Gaza, Colombia offers Palestinian family a new life in Barranquilla",https://english.elpais.com/international/2023-11-29/rescued-from-gaza-colombia-offers-palestinian-family-a-new-life-in-barranquilla.html
Ukraine says head of intelligence Kyrylo Budanov’s wife has been poisoned,https://english.elpais.com/international/2023-11-29/ukraine-says-head-of-intelligence-kyrylo-budanovs-wife-has-been-poisoned.html
Poland is encouraging truckers and farmers to block thousands of Ukrainian trucks at the border,https://english.elpais.com/international/2023-11-29/poland-is-encouraging-truckers-and-farmers-to-block-thousands-of-ukrainian-trucks-at-the-border.html
"David MacMillan, Nobel laureate in Chemistry: ‘I believe in science. In the end, it will provide solutions to climate change’",https://english.elpais.com/science-tech/2023-11-29/david-macmillan-nobel-laureate-in-chemistry-i-believe-in-science-in-the-end-it-will-provide-solutions-to-climate-change.html
Javier Milei anticipates Argentina’s new pro-America stand with White House visit,https://english.elpais.com/international/2023-11-29/javier-milei-anticipates-argentinas-new-pro-america-stand-with-visit-to-the-white-house.html
Maduro envoy to Shanghai: ‘Venezuela is in a transition towards the Chinese economic model’,https://english.elpais.com/international/2023-11-29/maduro-envoy-to-shanghai-venezuela-is-in-a-transition-towards-the-chinese-economic-model.html
"Arson, logging and water theft: The avocado industry deforests Mexico",https://english.elpais.com/international/2023-11-29/arson-logging-and-water-theft-the-avocado-industry-deforests-mexico.html
The femicide case that can change Italy,https://english.elpais.com/international/2023-11-28/the-femicide-case-that-can-change-italy.html
Big donors opt to back Nikki Haley as an alternative to Donald Trump in the Republican Party,https://english.elpais.com/usa/2023-11-29/big-donors-opt-to-back-nikki-haley-as-an-alternative-to-donald-trump-in-the-republican-party.html
Cities crack down on homeless encampments. Advocates say that’s not the answer ,https://english.elpais.com/usa/2023-11-28/cities-crack-down-on-homeless-encampments-advocates-say-thats-not-the-answer.html
